subject,course_title,abs_course_url
Social Sciences,Introductory AP® Microeconomics,https://www.classcentral.com/course/edx-introductory-ap-microeconomics-8630
Social Sciences,Justice,https://www.classcentral.com/course/edx-justice-610
Social Sciences,Psychological First Aid,https://www.classcentral.com/course/coursera-psychological-first-aid-2900
Social Sciences,Positive Psychology ,https://www.classcentral.com/course/coursera-positive-psychology-2943
Social Sciences,Buddhism and Modern Psychology ,https://www.classcentral.com/course/coursera-buddhism-and-modern-psychology-1355
Social Sciences,The Science of Happiness,https://www.classcentral.com/course/edx-the-science-of-happiness-1781
Social Sciences,Terrorism and Counterterrorism: Comparing Theory and Practice,https://www.classcentral.com/course/coursera-terrorism-and-counterterrorism-comparing-theory-and-practice-701
Social Sciences,Miracles of Human Language: An Introduction to Linguistics,https://www.classcentral.com/course/coursera-miracles-of-human-language-an-introduction-to-linguistics-2940
Social Sciences,Introduction to Psychology,https://www.classcentral.com/course/coursera-introduction-to-psychology-647
Social Sciences,Introduction to Neuroeconomics: How the Brain Makes Decisions,https://www.classcentral.com/course/coursera-introduction-to-neuroeconomics-how-the-brain-makes-decisions-1387
Social Sciences,Intro to Psychology,https://www.classcentral.com/course/udacity-intro-to-psychology-830
Social Sciences,Moral Foundations of Politics ,https://www.classcentral.com/course/coursera-moral-foundations-of-politics-2986
Social Sciences,Protecting Business Innovations via Patent,https://www.classcentral.com/course/coursera-protecting-business-innovations-via-patent-10382
Social Sciences,Welcome to Game Theory,https://www.classcentral.com/course/coursera-welcome-to-game-theory-2883
Social Sciences,Protecting Business Innovations via Trademark,https://www.classcentral.com/course/coursera-protecting-business-innovations-via-trademark-10038
Social Sciences,The Age of Sustainable Development,https://www.classcentral.com/course/coursera-the-age-of-sustainable-development-1533
Social Sciences,Paradoxes of War,https://www.classcentral.com/course/coursera-paradoxes-of-war-1361
Social Sciences,Understanding Research Methods,https://www.classcentral.com/course/coursera-understanding-research-methods-1767
Social Sciences,An Introduction to American Law,https://www.classcentral.com/course/coursera-an-introduction-to-american-law-2872
Social Sciences,Protecting Business Innovations via Copyright,https://www.classcentral.com/course/coursera-protecting-business-innovations-via-copyright-8733
Social Sciences,Classical Sociological Theory ,https://www.classcentral.com/course/coursera-classical-sociological-theory-4298
Social Sciences,The Psychology of Criminal Justice,https://www.classcentral.com/course/edx-the-psychology-of-criminal-justice-2021
Social Sciences,Introduction to Human Behavioral Genetics,https://www.classcentral.com/course/coursera-introduction-to-human-behavioral-genetics-1765
Social Sciences,The Power of Macroeconomics: Economic Principles in the Real World,https://www.classcentral.com/course/coursera-the-power-of-macroeconomics-economic-principles-in-the-real-world-1050
Social Sciences,Introduction to International Criminal Law,https://www.classcentral.com/course/coursera-introduction-to-international-criminal-law-712
Social Sciences,Game Theory II: Advanced Applications,https://www.classcentral.com/course/coursera-game-theory-ii-advanced-applications-1469
Health & Medicine,Health and healthcare in transition: dilemmas of governance,https://www.classcentral.com/course/coursera-health-and-healthcare-in-transition-dilemmas-of-governance-11946
Health & Medicine,Improving Palliative Care in Care Homes for Older People,https://www.classcentral.com/course/futurelearn-improving-palliative-care-in-care-homes-for-older-people-12545
Health & Medicine,SMART-ASD: Matching Autistic People with Technology Resources,https://www.classcentral.com/course/futurelearn-smart-asd-matching-autistic-people-with-technology-resources-8076
Health & Medicine,Introduction to Household Water Treatment and Safe Storage,https://www.classcentral.com/course/coursera-introduction-to-household-water-treatment-and-safe-storage-1721
Health & Medicine,社会调查与研究方法 （下）Methodologies in Social Research (Part 2),https://www.classcentral.com/course/coursera---methodologies-in-social-research-part-2-2783
Health & Medicine,Introduction to Dental Medicine,https://www.classcentral.com/course/coursera-introduction-to-dental-medicine-2902
Health & Medicine,Rethinking Ageing:  Are we prepared to live longer?,https://www.classcentral.com/course/coursera-rethinking-ageing-are-we-prepared-to-live-longer-3317
Health & Medicine,Foundations for Assisting in Home Care,https://www.classcentral.com/course/coursera-foundations-for-assisting-in-home-care-3726
Health & Medicine,Systems Thinking In Public Health,https://www.classcentral.com/course/coursera-systems-thinking-in-public-health-5723
Health & Medicine,Healthcare Delivery Providers,https://www.classcentral.com/course/coursera-healthcare-delivery-providers-5533
Health & Medicine,Healthcare Marketplace,https://www.classcentral.com/course/coursera-healthcare-marketplace-5508
Health & Medicine,Medical Technology and Evaluation,https://www.classcentral.com/course/coursera-medical-technology-and-evaluation-5472
Health & Medicine,Introduction to Breast Cancer,https://www.classcentral.com/course/coursera-introduction-to-breast-cancer-6044
Health & Medicine,Setting the Stage for Success: An Eye on Safety Culture and Teamwork (Patient Safety II),https://www.classcentral.com/course/coursera-setting-the-stage-for-success-an-eye-on-safety-culture-and-teamwork-patient-safety-ii-9611
Health & Medicine,Food as Medicine: Fertility and Pregnancy,https://www.classcentral.com/course/futurelearn-food-as-medicine-fertility-and-pregnancy-9120
Health & Medicine,Epidemiology in Public Health Practice,https://www.classcentral.com/course/coursera-epidemiology-in-public-health-practice-8921
Health & Medicine,Global Health and Disability,https://www.classcentral.com/course/futurelearn-global-health-and-disability-9826
Health & Medicine,Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),https://www.classcentral.com/course/coursera-designing-for-sustainment-keeping-improvement-work-on-track-patient-safety-iv-9771
